,Name,ID,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,mataura,6201424.0,-46.19,168.86,74.73,61.0,73.0,1.39
1,karratha,6620339.0,-20.74,116.85,85.59,74.0,0.0,2.82
2,pangkalanbuun,1632694.0,-2.68,111.62,75.2,96.0,96.0,0.87
3,hermanus,3366880.0,-34.42,19.23,62.01,88.0,46.0,8.01
4,jatai,3460064.0,-17.88,-51.71,70.83,91.0,100.0,5.08
5,dikson,1507390.0,73.51,80.55,-7.82,96.0,100.0,7.07
6,ponta do sol,2264557.0,32.67,-17.1,60.8,67.0,20.0,5.82
7,roald,3141667.0,62.58,6.13,46.99,93.0,100.0,24.16
8,erenhot,2037485.0,43.65,111.98,13.96,78.0,0.0,7.72
10,arraial do cabo,3471451.0,-22.97,-42.03,75.79,83.0,0.0,9.4
11,hofn,2630299.0,64.25,-15.21,36.64,91.0,87.0,5.48
12,axim,2303611.0,4.87,-2.24,75.9,86.0,94.0,1.32
13,bethel,5282297.0,41.37,-73.41,50.0,93.0,90.0,3.36
14,xinqing,2033667.0,48.23,129.5,-5.4,95.0,15.0,5.5
15,vaini,4032243.0,-21.2,-175.2,80.6,88.0,90.0,13.87
16,hilo,5855927.0,19.73,-155.09,80.6,57.0,90.0,6.93
18,sechura,3691954.0,-5.56,-80.82,74.34,87.0,32.0,14.65
19,todos santos,3981432.0,23.45,-110.22,73.0,64.0,75.0,11.41
20,tuatapere,2180815.0,-46.13,167.68,72.34,47.0,78.0,3.47
21,zeya,2012593.0,53.75,127.27,-27.42,97.0,4.0,2.08
22,saint-francois,2980080.0,46.42,3.91,42.01,90.0,86.0,3.36
23,ostrovnoy,556268.0,68.05,39.51,0.63,99.0,65.0,8.19
24,itarema,3393692.0,-2.92,-39.92,78.49,88.0,86.0,6.58
25,ewa beach,5855051.0,21.32,-158.01,80.6,54.0,75.0,11.41
26,tuktoyaktuk,6170031.0,69.45,-133.04,-13.0,75.0,90.0,24.16
